date,sales,onpromotion,transactions,oil_price,holiday_count,is_holiday,year,month,quarter,day_of_week,day_of_year,week_of_year,is_weekend,month_sin,month_cos,dow_sin,dow_cos
2013-01-01,2511.618999,0,770.0,93.14,1.0,1.0,2013,1,1,1,1,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2013-01-02,496092.417944,0,93215.0,93.14,0.0,0.0,2013,1,1,2,2,1,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2013-01-03,361461.231124,0,78504.0,92.97,0.0,0.0,2013,1,1,3,3,1,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2013-01-04,354459.6770927,0,78494.0,93.12,0.0,0.0,2013,1,1,4,4,1,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2013-01-05,477350.121229,0,93573.0,93.14666666666668,1.0,1.0,2013,1,1,5,5,1,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2013-01-06,519695.401088,0,90464.0,93.17333333333333,0.0,0.0,2013,1,1,6,6,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2013-01-07,336122.801066,0,75597.0,93.2,0.0,0.0,2013,1,1,0,7,2,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2013-01-08,318347.777981,0,72325.0,93.21,0.0,0.0,2013,1,1,1,8,2,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2013-01-09,302530.809018,0,71971.0,93.08,0.0,0.0,2013,1,1,2,9,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2013-01-10,258982.003049,0,66383.0,93.81,0.0,0.0,2013,1,1,3,10,2,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2013-01-11,289737.6850845,0,70338.0,93.6,0.0,0.0,2013,1,1,4,11,2,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2013-01-12,403258.2120105,0,85511.0,93.82333333333332,1.0,1.0,2013,1,1,5,12,2,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2013-01-13,464638.547998,0,86306.0,94.04666666666667,0.0,0.0,2013,1,1,6,13,2,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2013-01-14,293348.362078,0,70078.0,94.27,0.0,0.0,2013,1,1,0,14,3,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2013-01-15,299129.549954,0,71134.0,93.26,0.0,0.0,2013,1,1,1,15,3,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2013-01-16,318347.913946,0,72471.0,94.28,0.0,0.0,2013,1,1,2,16,3,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2013-01-17,267498.5159755,0,68873.0,95.49,0.0,0.0,2013,1,1,3,17,3,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2013-01-18,296130.850028,0,71371.0,95.61,0.0,0.0,2013,1,1,4,18,3,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2013-01-19,432459.852021,0,88558.0,95.69,0.0,0.0,2013,1,1,5,19,3,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2013-01-20,461092.386047,0,85281.0,95.77,0.0,0.0,2013,1,1,6,20,3,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2013-01-21,311211.26595000003,0,73250.0,95.85,0.0,0.0,2013,1,1,0,21,4,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2013-01-22,296214.728983,0,68988.0,96.09,0.0,0.0,2013,1,1,1,22,4,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2013-01-23,283258.4530325,0,69819.0,95.06,0.0,0.0,2013,1,1,2,23,4,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2013-01-24,247245.690995,0,63705.0,95.35,0.0,0.0,2013,1,1,3,24,4,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2013-01-25,290022.77193,0,71273.0,95.15,0.0,0.0,2013,1,1,4,25,4,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2013-01-26,413799.7679753,0,88022.0,95.41666666666667,0.0,0.0,2013,1,1,5,26,4,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2013-01-27,430411.991233,0,83304.0,95.68333333333334,0.0,0.0,2013,1,1,6,27,4,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2013-01-28,285460.169953,0,70389.0,95.95,0.0,0.0,2013,1,1,0,28,5,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2013-01-29,264488.81807649997,0,68435.0,97.62,0.0,0.0,2013,1,1,1,29,5,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2013-01-30,281061.127052,0,70888.0,97.98,0.0,0.0,2013,1,1,2,30,5,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2013-01-31,271254.217996,0,70268.0,97.65,0.0,0.0,2013,1,1,3,31,5,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2013-02-01,369402.055266,0,78302.0,97.46,0.0,0.0,2013,2,1,4,32,5,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
2013-02-02,518887.462705,0,97347.0,97.04333333333332,0.0,0.0,2013,2,1,5,33,5,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
2013-02-03,486336.82018,0,87026.0,96.62666666666667,0.0,0.0,2013,2,1,6,34,5,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
2013-02-04,344308.715017,0,75330.0,96.21,0.0,0.0,2013,2,1,0,35,6,0,0.8660254037844386,0.5000000000000001,0.0,1.0
2013-02-05,321245.83913,0,76206.0,96.68,0.0,0.0,2013,2,1,1,36,6,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2013-02-06,321538.177149,0,75291.0,96.44,0.0,0.0,2013,2,1,2,37,6,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
2013-02-07,290807.530973,0,72789.0,95.84,0.0,0.0,2013,2,1,3,38,6,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
2013-02-08,347441.789912,0,79726.0,95.71,0.0,0.0,2013,2,1,4,39,6,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
2013-02-09,416176.2790747,0,90342.0,96.14333333333333,0.0,0.0,2013,2,1,5,40,6,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
2013-02-10,300951.328993,0,69963.0,96.57666666666667,0.0,0.0,2013,2,1,6,41,6,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
2013-02-11,278627.588926,0,67222.0,97.01,1.0,1.0,2013,2,1,0,42,7,0,0.8660254037844386,0.5000000000000001,0.0,1.0
2013-02-12,308800.7909121,0,71808.0,97.48,1.0,1.0,2013,2,1,1,43,7,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2013-02-13,319597.929962,0,80098.0,97.03,0.0,0.0,2013,2,1,2,44,7,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
2013-02-14,308164.016957,0,88681.0,97.3,0.0,0.0,2013,2,1,3,45,7,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
2013-02-15,320168.883912,0,75789.0,95.95,0.0,0.0,2013,2,1,4,46,7,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
2013-02-16,485660.494008,0,92816.0,96.07333333333334,0.0,0.0,2013,2,1,5,47,7,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
2013-02-17,399588.910014,0,77449.0,96.19666666666666,0.0,0.0,2013,2,1,6,48,7,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
2013-02-18,350745.573191,0,76437.0,96.32,0.0,0.0,2013,2,1,0,49,8,0,0.8660254037844386,0.5000000000000001,0.0,1.0
2013-02-19,293637.801951,0,70645.0,96.69,0.0,0.0,2013,2,1,1,50,8,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2013-02-20,313803.162034,0,73812.0,94.92,0.0,0.0,2013,2,1,2,51,8,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
2013-02-21,267711.1090155,0,68246.0,92.79,0.0,0.0,2013,2,1,3,52,8,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
2013-02-22,285679.869131,0,70914.0,93.12,0.0,0.0,2013,2,1,4,53,8,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
2013-02-23,412897.349113,0,88390.0,92.99333333333334,0.0,0.0,2013,2,1,5,54,8,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
2013-02-24,452726.126103,0,84125.0,92.86666666666666,0.0,0.0,2013,2,1,6,55,8,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
2013-02-25,307110.875933,0,72167.0,92.74,0.0,0.0,2013,2,1,0,56,9,0,0.8660254037844386,0.5000000000000001,0.0,1.0
2013-02-26,270425.0070675,0,68706.0,92.63,0.0,0.0,2013,2,1,1,57,9,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2013-02-27,288401.998919,0,70170.0,92.84,0.0,0.0,2013,2,1,2,58,9,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
2013-02-28,278116.291888,0,69818.0,92.03,0.0,0.0,2013,2,1,3,59,9,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
2013-03-01,378898.165064,0,79524.0,90.71,0.0,0.0,2013,3,1,4,60,9,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
2013-03-02,547857.205258,0,98616.0,90.51666666666667,1.0,1.0,2013,3,1,5,61,9,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
2013-03-03,559820.580027,0,92716.0,90.32333333333332,0.0,0.0,2013,3,1,6,62,9,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
2013-03-04,383647.679097,0,79078.0,90.13,0.0,0.0,2013,3,1,0,63,10,0,1.0,6.123233995736766e-17,0.0,1.0
2013-03-05,332189.993189,0,75134.0,90.88,0.0,0.0,2013,3,1,1,64,10,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
2013-03-06,335726.580968,0,76519.0,90.47,0.0,0.0,2013,3,1,2,65,10,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
2013-03-07,293099.52701,0,73910.0,91.53,0.0,0.0,2013,3,1,3,66,10,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419
2013-03-08,316600.679967,0,78231.0,92.01,0.0,0.0,2013,3,1,4,67,10,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
2013-03-09,453259.496866,0,92462.0,92.03,0.0,0.0,2013,3,1,5,68,10,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
2013-03-10,461859.756153,0,86322.0,92.05,0.0,0.0,2013,3,1,6,69,10,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
2013-03-11,318379.133021,0,75161.0,92.07,0.0,0.0,2013,3,1,0,70,11,0,1.0,6.123233995736766e-17,0.0,1.0
2013-03-12,271823.37801,0,69346.0,92.44,0.0,0.0,2013,3,1,1,71,11,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
2013-03-13,287869.663972,0,72010.0,92.47,0.0,0.0,2013,3,1,2,72,11,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
