date,predicted_sales
2017-08-16,784374.6624243513
2017-08-17,737870.4025233162
2017-08-18,730933.0879943295
2017-08-19,726958.9206130605
2017-08-20,804235.2872886616
2017-08-21,807684.9501577156
2017-08-22,760510.1616223964
2017-08-23,763736.6311885687
2017-08-24,733579.9560768098
2017-08-25,722248.7990187842
2017-08-26,726321.6537315128
2017-08-27,827522.6919979745
2017-08-28,771176.2402523155
2017-08-29,778940.6644746289
2017-08-30,783439.9757440384
2017-08-31,769460.7168158538
2017-09-01,810378.3913175471
2017-09-02,794740.979565033
2017-09-03,876884.1320154475
2017-09-04,803826.385343372
2017-09-05,808509.2537390784
2017-09-06,805088.7806737446
2017-09-07,778394.7951026211
2017-09-08,802537.4351970397
2017-09-09,813001.7942676903
2017-09-10,891989.6826630711
2017-09-11,789811.3338472474
2017-09-12,802200.5002175352
2017-09-13,800846.69523145
2017-09-14,789128.6443548856
