date,actual_sales,predicted_sales
2017-05-18,628487.989962,647067.6247359265
2017-05-19,773775.4378677,773696.1332127424
2017-05-20,1035667.381833,999508.4850374472
2017-05-21,1201938.886229,1145970.887679759
2017-05-22,778935.156126,802671.4112921108
2017-05-23,723151.767982,730544.7127154747
2017-05-24,746303.6271255,772955.7026385382
2017-05-25,620108.24391,631975.8773070221
2017-05-26,984511.1521135,845113.8992680956
2017-05-27,932219.893144,1026750.3611149315
2017-05-28,1061771.636907,1035042.4006836137
2017-05-29,776813.137038,792227.7616679186
2017-05-30,742471.2769905,779001.4304829313
2017-05-31,858062.149411,903769.6283086672
2017-06-01,766859.172845,877080.7970976278
2017-06-02,918421.319125,872019.5686812459
2017-06-03,1176138.109152,1186609.5425325632
2017-06-04,1376511.520495,1254821.3563845083
2017-06-05,912693.8511,873210.1032890555
2017-06-06,805546.647956,764090.5895427094
2017-06-07,842979.8370823,805024.0459293321
2017-06-08,667099.801025,653836.2196997852
2017-06-09,795116.1360699,790658.0329973407
2017-06-10,993732.684049,984929.1626349543
2017-06-11,1213673.946877,1090133.4882874521
2017-06-12,768349.7589517,761472.865248248
2017-06-13,729412.959849,724470.6281494034
2017-06-14,785885.9088963,778249.3156979542
2017-06-15,660338.346974,684076.6604238254
2017-06-16,834786.4275550001,820794.8524495238
2017-06-17,1096133.5508865,1107621.4489581147
2017-06-18,965144.121179,1103524.1014822624
2017-06-19,791146.393731,772762.2661801332
2017-06-20,787326.7170395,763348.7435088038
2017-06-21,766159.0112892,777046.3209034622
2017-06-22,609868.8309586,632223.5928232258
2017-06-23,761049.7450639,765272.027742075
2017-06-24,963268.227135,977797.9821790641
2017-06-25,1092610.858614,1033581.0944921891
2017-06-26,755367.8450665,753012.7943586393
2017-06-27,682218.468913,708865.5516007576
2017-06-28,731896.9850105,759011.6995394761
2017-06-29,630811.802872,631662.7898394323
2017-06-30,802273.1392327,831502.2623425195
2017-07-01,1207529.921868,1227889.9395169043
2017-07-02,1296379.2175535,1226616.2041249168
2017-07-03,925143.408816,937558.0490808694
2017-07-04,832359.2860137,858263.9620936182
2017-07-05,844301.613116,878186.866986261
2017-07-06,700272.0099567,705688.2139039675
2017-07-07,805792.302193,802091.0062845395
2017-07-08,998347.1930085,975170.8538427956
2017-07-09,1100833.322376,1104506.5265006304
2017-07-10,804158.8610365,805000.0045613747
2017-07-11,730534.767701,747802.1129184059
2017-07-12,748799.9959087,784898.6791283495
2017-07-13,629651.3629294999,640607.8465749231
2017-07-14,765489.6173932999,782142.3872302875
2017-07-15,969077.125075,1005400.5758743305
2017-07-16,1100803.699023,1097666.166258886
2017-07-17,818325.522149,810233.0070930299
2017-07-18,730133.70894,746363.8789277169
2017-07-19,767978.778078,789882.828565197
2017-07-20,688288.067857,677348.2761264117
2017-07-21,782418.2992188,797007.631703736
2017-07-22,932902.046681,962200.6056081532
2017-07-23,1024288.741245,1046320.4352660018
2017-07-24,816564.327096,795364.9335451248
2017-07-25,713581.632609,731633.0798897172
2017-07-26,740653.044167,756403.8629791792
2017-07-27,659849.8270588,641591.4443644858
2017-07-28,835099.6822035,803058.9790879237
2017-07-29,1032310.865737,1043185.7273028888
2017-07-30,1123752.4779517,1048459.0436022608
2017-07-31,885856.8408705,868017.0995531916
2017-08-01,988527.763204,953728.0257726782
2017-08-02,964712.016051,979071.929334434
2017-08-03,728068.485132,787130.6982949678
2017-08-04,827775.686128,815032.9015157612
2017-08-05,965693.650492,993965.0476537555
2017-08-06,1049559.164277,1068050.8550198877
2017-08-07,797464.963817,821789.6685941201
2017-08-08,717766.3491055,745357.5761926797
2017-08-09,734139.67401,781013.5728807059
2017-08-10,651386.9119697,697218.8303370143
2017-08-11,826373.722022,774899.7298567394
2017-08-12,792630.5350785,871493.5397117268
2017-08-13,865639.677471,863726.6275108687
2017-08-14,760922.4060808,813132.6162813487
2017-08-15,762661.935939,808667.5456653563
